epoch,metric1,metric2
1,121.5493,356.6002
2,119.17085,105.61775
3,119.65177,75.7715
4,127.134056,71.43957
5,120.86026,71.88012
6,124.877266,288.51617
7,122.154335,80.463974
8,126.84414,80.48636
9,121.69232,80.492645
10,124.96633,80.48729
11,84.01868,80.49455
12,82.69886,292.634
13,319.10193,328.58798
14,336.88177,433.07355
15,346.71884,413.71808
16,386.23218,369.94644
17,453.396,419.93256
18,407.96182,269.75177
19,296.84106,312.29242
20,325.86584,300.12265
21,307.26385,288.17142
22,306.82007,293.703
23,304.96414,298.61688
24,302.595,294.8204
25,304.1831,284.2556
26,304.58423,287.46478
27,306.6054,292.63412
28,306.87946,292.74286
29,297.70828,297.96826
30,305.30038,298.88535
31,305.69116,289.57507
32,300.84113,335.91934
33,342.782,409.65436
34,391.46997,421.37875
35,411.38797,399.11523
36,432.0202,445.3334
37,466.51105,422.80005
38,440.2173,406.35934
39,417.36804,446.30096
40,479.7208,442.9068
41,429.4861,454.9169
42,413.98682,434.1644
43,431.46677,411.10052
44,437.43216,428.93634
45,447.8999,405.75262
46,449.6174,452.50165
47,447.53757,433.68564
48,432.79346,439.30463
49,456.08005,437.93295
50,449.14294,412.37173
51,409.88025,445.98593
52,433.89404,464.93335
53,475.85468,431.13046
54,439.1116,427.75568
55,422.21017,453.18182
56,488.53745,456.16953
57,445.2744,448.12836
58,398.72415,430.80707
59,432.89267,415.74673
60,422.33026,426.81085
61,442.47424,458.35196
62,438.2512,399.26666
63,429.77148,440.74323
64,423.3672,455.76587
65,430.15796,438.62225
66,453.4357,422.3542
67,458.78116,452.42603
68,446.98868,421.64984
69,449.4324,429.24298
70,415.4997,403.60684
71,445.55737,409.95428
72,499.93008,458.3523
73,483.1298,446.33423
74,465.80936,426.51044
75,421.73386,449.7143
76,448.9221,417.9973
77,444.31125,422.417
78,423.8091,445.38876
79,423.4846,422.10278
80,446.9976,458.98178
81,458.7817,421.24097
82,472.23853,426.62964
83,488.41177,431.3205
84,438.85974,440.12906
85,452.61417,492.6583
86,494.62946,476.9353
87,453.58502,426.6363
88,445.10538,420.67194
89,404.5757,465.5284
90,453.15262,452.5567
91,477.3482,484.44986
92,432.17563,477.11407
93,444.79245,461.08585
94,472.1321,459.76093
95,453.39005,449.13824
96,440.27893,493.77515
97,438.08817,479.1376
98,448.13205,485.58194
99,441.80273,479.06094
100,462.00247,499.74017
101,479.36853,468.73822
102,443.27744,286.17694
103,313.08618,325.94064
104,330.54797,345.7737
105,350.08136,354.53387
106,353.85007,360.53357
107,360.1689,330.92957
108,345.47702,462.81876
109,435.43216,466.63412
110,436.67838,487.2835
111,434.66476,437.72665
112,472.61807,453.94644
113,445.3324,353.96393
114,356.6562,404.15146
115,443.16248,441.65787
116,489.36676,399.19327
117,407.99637,467.32593
118,448.841,488.1451
119,447.61288,453.40546
120,477.64685,454.95355
121,451.25107,493.59634
122,454.46692,475.127
123,463.0427,467.60318
124,447.06967,447.25262
125,436.3358,458.6959
126,433.31238,463.65585
127,478.09088,460.05542
128,456.82742,450.09677
129,464.70633,350.85803
130,369.73065,470.0415
131,445.51245,445.89258
132,487.38544,456.60675
133,431.22485,413.1114
134,394.45328,440.56332
135,436.5007,466.02155
136,442.59903,458.83203
137,451.92148,428.21786
138,423.21997,472.3436
139,424.8123,462.23868
140,468.16602,452.9839
141,466.01224,467.94962
142,465.34167,455.6933
143,454.0545,422.63974
144,423.03482,445.66455
145,443.77612,447.65073
146,443.1954,401.25418
147,396.10495,455.42398
148,443.06668,492.74518
149,463.23517,470.17593
150,465.21585,463.80127
151,452.0709,465.5205
152,450.78238,462.69254
153,459.7382,449.65558
154,459.74484,473.70694
155,453.09238,460.89975
156,446.69675,456.80255
157,467.54102,478.4345
158,438.37857,474.39633
159,434.66687,492.3145
160,448.3663,432.91132
161,427.70398,475.47968
162,442.84933,452.45532
163,479.65744,452.96246
164,449.9265,484.7019
165,437.50888,493.45898
166,437.92856,454.1043
167,452.2007,467.36288
168,439.77798,481.81177
169,415.97604,461.5346
170,454.33487,442.5141
171,410.57016,503.13354
172,477.734,464.64658
173,458.696,479.40244
174,460.2874,493.16122
175,452.06854,461.4122
176,440.36423,463.21103
177,452.20798,471.62042
178,418.4393,457.95615
179,449.33194,464.65924
180,438.76978,476.82123
181,460.8454,466.8576
182,453.28876,465.75702
183,460.65732,496.78897
184,444.22464,466.64462
185,449.91165,472.85254
186,430.43454,492.0833
187,457.98715,450.8229
188,454.35452,459.93564
189,461.09558,472.94403
190,482.7909,474.2137
191,455.3218,492.21426
192,447.46872,465.71393
193,422.65747,467.28183
194,457.06943,499.40146
195,486.19443,481.31
196,452.99405,457.11954
197,460.46658,504.9066
198,444.32327,448.8029
199,463.59207,455.29062
200,448.22482,457.6425
201,445.97632,450.9356
202,434.87927,451.00113
203,441.84024,476.7046
204,437.89145,453.22705
205,469.992,454.6459
206,447.09668,443.2267
207,452.99826,471.11407
208,468.2219,474.2972
209,451.99597,467.8436
210,457.4002,455.93564
211,443.17032,459.74966
212,500.28693,449.19922
213,457.2116,480.54092
214,453.3789,450.6017
215,464.36682,476.48477
216,450.49167,437.9143
217,457.71033,465.64215
218,445.8936,481.87704
219,458.30087,457.30933
220,435.5997,468.232
221,462.39532,461.24152
222,478.0211,461.7999
223,475.8285,472.48325
224,436.4782,455.18048
225,454.80676,446.21735
226,452.95593,455.00787
227,479.45517,443.22168
228,444.62875,466.34943
229,456.0411,460.17227
230,463.266,454.0296
231,448.75705,442.3067
232,469.5846,450.20425
233,458.18802,479.4774
234,435.47714,472.164
235,450.4471,490.19858
236,452.19006,458.16962
237,439.27786,464.49863
238,439.99304,457.0644
239,451.5684,445.28394
240,435.66245,483.39154
241,481.94522,471.16058
242,439.33517,454.21915
243,433.8444,477.83975
244,493.7587,451.40054
245,468.87335,463.44232
246,456.31183,443.15558
247,461.1335,448.8156
248,460.1924,453.79483
249,438.90384,477.5393
250,476.5205,493.15536
251,442.65433,449.21338
252,423.29028,470.1496
253,456.54852,453.37787
254,449.91025,466.9955
255,474.7473,472.12946
256,448.02307,449.30023
257,451.63672,463.15436
258,450.78506,476.4012
259,456.00394,477.21307
260,452.98038,451.827
261,467.01797,462.39322
262,450.1755,437.84238
263,432.20923,458.56015
264,458.5543,456.20694
265,476.74063,467.67105
266,443.45193,456.61084
267,461.43066,489.8351
268,449.8691,455.45874
269,460.8849,453.69693
270,467.99274,440.27686
271,460.85898,442.68903
272,464.38623,473.27106
273,451.0704,453.43326
274,462.9658,451.5711
275,477.98956,462.36084
276,487.55902,472.0887
277,482.56442,462.20612
278,452.59433,455.73785
279,488.0606,469.06738
280,468.62894,452.56854
281,451.93835,460.74747
282,428.24612,452.55438
283,460.31274,451.9638
284,456.2797,478.57755
285,479.33005,445.25238
286,438.7556,462.87997
287,486.6298,471.92352
288,469.6286,444.5503
289,474.3122,430.69513
290,456.74417,470.53677
291,466.5532,460.49713
292,465.6405,461.99008
293,446.55518,472.35956
294,449.37665,478.93604
295,449.4128,458.90356
296,456.4578,452.4184
297,453.89578,457.52228
298,462.366,448.55112
299,454.99557,473.24985
300,461.48953,482.08807
301,480.78494,493.90747
302,460.30652,466.44794
303,438.02762,484.527
304,455.4251,444.133
305,431.454,478.2653
306,473.48703,451.72736
307,450.74796,456.63306
308,449.72592,462.95013
309,481.83768,471.694
310,471.4155,457.21515
311,468.20654,454.5291
312,451.42374,450.42514
313,457.83984,460.4899
314,453.66037,468.1084
315,469.1534,447.67584
316,465.00818,474.27158
317,433.72937,447.05362
318,460.4965,488.37378
319,450.17432,465.4436
320,449.19424,456.13116
321,423.99326,459.2312
322,454.12305,477.8361
323,462.70624,468.17368
324,447.928,432.34613
325,467.46368,440.7766
326,460.43246,461.3548
327,476.7423,481.2243
328,459.57947,453.89566
329,494.56232,476.37558
330,447.30777,488.79535
331,468.22195,481.0432
332,443.76913,489.38696
333,491.11368,451.43573
334,452.09323,462.0988
335,457.26273,436.333
336,457.10156,465.5381
337,457.66425,486.06354
338,447.98782,466.1106
339,485.51196,461.56
340,449.381,472.153
341,457.70975,447.63446
342,444.69998,485.97784
343,450.18054,449.879
344,472.80164,467.23624
345,486.33014,475.5131
346,481.68536,474.50885
347,463.50314,451.07657
348,474.15714,452.12143
349,440.52563,480.52655
350,437.06656,458.2063
351,447.31653,476.44733
352,486.64755,459.90118
353,483.60648,470.71948
354,485.71585,450.6005
355,436.92822,458.9161
356,455.66876,433.43854
357,457.83887,478.4039
358,450.5958,469.82724
359,451.3252,475.53265
360,456.29367,475.55786
361,446.6421,451.66107
362,458.61856,467.25732
363,462.64893,462.15082
364,445.5994,456.19296
365,447.16324,429.2818
366,407.0526,412.1219
367,412.64206,422.80566
368,409.2067,493.3294
369,439.32724,447.0013
370,463.5341,450.95035
371,442.0577,450.93817
372,467.5059,454.5962
373,478.91943,460.06903
374,458.20877,458.45587
375,456.14175,463.038
376,475.49387,474.77188
377,453.6546,460.1394
378,445.01266,453.71426
379,465.22382,467.98404
380,445.52298,469.62372
381,467.85117,480.46182
382,474.68262,449.42764
383,448.82544,460.8047
384,463.29172,461.13663
385,455.44138,475.65216
386,444.7949,447.861
387,470.84763,466.82843
388,462.73587,445.55753
389,447.17224,456.05743
390,464.5333,449.83624
391,447.71945,462.45132
392,465.17178,463.9389
393,484.1381,451.78238
394,452.01648,492.09772
395,441.30554,466.51605
396,466.10626,448.0196
397,454.83105,461.42447
398,456.41055,471.25497
399,457.82864,453.06372
400,466.4194,474.62387
401,442.95554,478.2438
402,457.876,467.74057
403,471.07224,445.54047
404,444.59854,475.79688
405,488.55157,479.29388
406,447.6742,458.61078
407,442.79962,461.49463
408,451.78702,467.76913
409,455.5553,468.18732
410,458.39932,443.79816
411,444.99338,435.61505
412,467.68152,486.64264
413,454.35196,447.06494
414,455.4247,460.8222
415,436.67313,447.04413
416,467.87595,447.56894
417,454.78476,476.93622
418,459.1126,520.97345
419,445.75046,470.20328
420,446.94168,484.7088
421,436.08603,441.9427
422,458.72803,464.16275
423,456.19687,449.55942
424,480.0126,473.70712
425,455.6501,456.0148
426,464.9814,473.2381
427,449.44168,455.08453
428,485.6957,461.68622
429,465.3843,456.4038
430,472.23672,458.9511
431,444.3721,481.379
432,442.9119,474.43854
433,471.50586,448.78827
434,464.32822,448.12003
435,475.18985,477.1833
436,439.59213,449.57724
437,460.11862,495.4418
438,476.0545,467.33398
439,462.8892,477.34268
440,455.16034,446.43634
441,490.67596,477.7331
442,466.736,451.07413
443,474.55063,467.48602
444,465.4718,459.94604
445,445.9339,483.46625
446,435.54834,455.00235
447,464.86026,469.66122
448,462.7871,467.12152
449,442.97852,469.95233
450,460.3871,457.97687
451,465.2269,445.8671
452,436.8488,472.71027
453,437.14755,464.8351
454,480.2957,489.08292
455,464.6906,473.2018
456,465.04965,458.89227
457,487.99167,452.13922
458,451.13574,477.36343
459,443.1058,461.30966
460,479.55704,477.43173
461,465.86722,479.4441
462,460.8284,454.84375
463,479.58435,472.51123
464,452.60056,460.1415
465,458.35593,469.77798
466,436.1222,475.95474
467,450.95764,458.6298
468,466.00345,438.82587
469,461.27444,479.28873
470,453.81555,447.61505
471,451.69406,503.64056
472,435.3761,480.29233
473,459.86545,485.581
474,471.10574,452.95264
475,455.86356,451.50748
476,456.88867,448.4334
477,449.5032,462.18057
478,447.06717,454.22803
479,443.53455,475.89948
480,450.722,465.16327
481,446.25848,443.95587
482,453.6578,453.11636
483,467.74368,467.02753
484,470.2375,448.80768
485,457.19162,447.5875
486,463.23224,447.81403
487,457.24765,461.81137
488,449.86542,467.20956
489,462.29773,488.14355
490,469.63016,452.7356
491,439.1706,470.17743
492,456.86362,470.47134
493,460.975,526.7057
494,451.5156,471.49103
495,453.73788,469.03638
496,481.21274,448.31924
497,471.06204,481.2543
498,451.60425,468.5744
499,462.61478,452.24365
500,438.21255,473.52286
501,454.4102,476.30933
502,479.57523,509.13412
503,475.7468,440.5249
504,431.918,461.01666
505,451.99026,472.7107
506,449.2535,459.1669
507,434.5804,429.5794
508,460.9387,477.3423
509,443.5592,473.02158
510,453.33713,457.80292
511,442.7428,477.4334
512,440.90088,456.95523
513,442.31985,521.0266
514,439.3571,479.34625
515,443.4102,505.93915
516,444.3294,467.1669
517,480.93945,463.38702
518,438.8485,470.42636
519,486.8226,448.1337
520,429.47836,459.35767
521,463.7717,450.4209
522,486.9177,466.6205
523,453.0883,446.5799
524,464.48264,463.85028
525,460.73233,464.0695
526,445.6717,466.12598
527,475.5119,460.2212
528,454.6117,459.44766
529,438.7428,469.86493
530,441.0143,467.733
531,526.1851,443.03424
532,457.68237,461.35272
533,479.3253,465.35928
534,472.3628,464.76093
535,445.56274,465.6888
536,445.11398,476.35187
537,460.50018,446.149
538,470.6389,458.7547
539,489.8144,481.12427
540,461.77478,457.24457
541,481.06705,478.51007
542,454.2941,449.2422
543,466.13074,452.93732
544,457.2954,474.7775
545,448.59036,472.08096
546,460.97073,444.62793
547,426.23776,462.5373
548,455.89258,469.37134
549,460.3528,463.63867
550,436.77148,458.7273
551,446.6852,442.55206
552,484.13852,467.681
553,461.02405,475.53302
554,471.97186,460.9309
555,466.15274,489.71426
556,455.94006,473.6717
557,457.54422,465.513
558,475.64093,476.67007
559,458.09567,492.2326
560,447.04636,473.0384
561,443.8904,477.7437
562,465.32196,469.96625
563,462.44833,494.608
564,450.71207,460.91226
565,459.23602,474.5218
566,441.4724,458.79257
567,454.67728,449.71503
568,444.28012,461.18515
569,445.43552,471.61417
570,444.61154,464.51505
571,481.4513,470.63208
572,447.31052,467.05502
573,463.3621,483.71518
574,469.06116,483.21176
575,442.38748,487.90372
576,447.2706,444.0113
577,448.3019,443.95224
578,457.0859,476.4035
579,453.1886,471.06674
580,461.82907,478.10577
581,437.51593,488.06924
582,467.2335,440.19012
583,482.27216,483.163
584,456.2167,467.9422
585,462.13757,493.85883
586,431.60727,461.39957
587,465.86716,452.12042
588,468.14465,462.68555
589,441.91357,468.5586
590,460.96973,440.16537
591,478.994,466.50757
592,450.447,460.98477
593,459.25247,474.92978
594,449.8871,489.7242
595,479.7413,483.46112
596,440.61258,446.96783
597,435.25226,462.91415
598,453.58105,483.5104
599,452.33917,454.96786
600,452.7499,452.15753
601,445.749,452.50763
602,446.72318,474.958
603,485.42957,461.63144
604,486.8936,487.2896
605,451.47034,455.63116
606,446.1538,459.33112
607,457.52243,439.84946
608,459.73828,456.17572
609,485.24698,459.44327
610,467.8987,442.34146
611,452.41345,474.78574
612,452.47498,451.07584
613,452.4869,459.56998
614,434.90833,456.83115
615,437.37027,470.10718
616,487.2889,479.7169
617,473.88474,460.76627
618,467.67386,465.35553
619,432.25156,452.13364
620,432.9733,497.84317
621,465.44962,455.65033
622,491.5737,465.85367
