Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	126.75699	39.100456	234.92578	78.49606	75.19234	0.18802918	75.45218	74.90803	25.358974	16.0	999	9.876166	2.937124	16.917059	-0.8903858	9.871486	2.9486623	16.724302	-1.526097	-10.276592	0.31353095	18.592065572738647
2	129.38857	34.276844	219.19522	83.33717	99.68445	3.29973	104.974365	94.46355	25.538462	21.0	1999	19.73688	4.763529	30.102198	1.4939729	19.737082	4.7630277	30.40241	2.533425	-20.509829	0.6262445	18.609968662261963
3	127.69253	36.14628	279.5543	83.33292	98.045006	3.2900293	104.45553	93.9082	25.275	20.7	2999	30.162342	7.3984265	44.032524	-1.2135924	30.162073	7.397078	44.06077	-2.1835077	-31.03076	1.5728241	18.611478090286255
4	122.01728	33.850353	209.96509	83.42715	75.64637	0.13110575	75.853714	75.39886	24.292683	16.0	3999	40.233624	10.815715	58.084377	-5.4240355	40.234985	10.811958	57.445656	-4.5456114	-42.43479	2.4564013	18.458736181259155
5	119.2967	36.177708	236.04633	83.35923	75.629196	0.10810064	75.76435	75.40554	23.95122	16.0	4999	51.75943	14.340291	73.49038	-8.610195	51.75971	14.340171	73.71309	-6.3260593	-55.222908	4.393083	18.653223514556885
6	134.8642	44.26314	236.8788	83.24594	75.603264	0.11094744	75.772415	75.396904	26.736841	16.0	5999	62.406147	18.101627	85.70216	-15.660921	62.40589	18.10091	85.22735	-7.718727	-66.50306	5.741625	18.70009160041809
7	121.928474	40.64425	297.35504	83.39615	75.6761	0.1356481	75.83226	75.333626	24.390244	16.0	6999	72.2939	22.108912	101.54774	-10.791662	72.295135	22.104889	100.58405	-12.249881	-76.968575	7.1066203	18.576371431350708
8	114.99121	26.384731	195.23798	83.3717	75.66704	0.1608024	75.93737	75.39496	23.0	16.0	7999	82.111725	26.215824	114.51212	-14.8337345	82.11282	26.21036	113.7768	-13.758529	-87.774124	9.432465	18.5307137966156
9	125.079956	42.818638	271.8139	78.377884	79.952415	1.4013073	80.662186	75.77641	24.825	16.9	8999	92.24678	30.41739	127.68442	-26.363188	92.24541	30.409044	128.5556	-19.384905	-98.67258	11.869836	18.589176177978516
10	118.158615	34.30213	240.08313	83.39692	250.82549	6.6646357	260.7976	238.60152	23.581396	47.2	9999	102.790016	35.208893	144.94739	-16.128464	102.79106	35.204018	145.78696	-13.2464695	-110.66043	15.132324	19.182537078857422
11	250.80916	24.104137	324.8106	228.59181	221.41074	5.9230957	227.85109	211.12515	47.095238	44.6	10999	114.1837	39.04104	158.84586	-11.925491	114.18397	39.02955	160.79872	-17.829792	-122.03106	27.005457	19.061963081359863
12	220.06781	13.554659	265.72162	194.60304	99.794945	10.066927	115.99206	75.563126	43.869564	20.7	11999	122.09939	43.098545	171.19205	-25.654634	122.10005	43.09267	173.90527	-27.590288	-129.39491	23.568836	18.67421865463257
13	104.20573	15.881175	198.49059	89.27513	329.7732	22.848343	373.81058	296.01447	21.145834	64.1	12999	128.07776	48.311573	184.26299	-34.26007	128.07803	48.30709	185.12617	-29.440195	-135.66493	35.080906	19.315915822982788
14	285.38385	25.853495	324.29434	201.96512	334.9839	41.432564	435.79758	293.31247	54.166668	66.2	13999	132.00162	52.205204	196.11942	-24.913548	132.00104	52.189735	194.16896	-34.231148	-139.11227	44.21318	19.345224142074585
15	302.23203	38.185932	391.33606	229.45697	257.0371	7.88036	273.98965	246.4585	59.17647	54.0	14999	135.77184	55.06857	205.47658	-22.34726	135.77235	55.049232	202.70193	-23.347937	-142.96631	32.04735	19.40972661972046
16	251.51675	17.405752	297.62854	223.76419	293.99265	14.497295	320.91916	274.4437	52.31579	61.3	15999	138.86044	57.527916	214.67282	-19.511494	138.86064	57.513268	214.92043	-19.914377	-146.12852	34.949562	19.239949464797974
17	284.03003	23.296757	338.17697	260.3985	351.6535	33.884563	399.7876	290.03305	58.294117	77.1	16999	142.5861	60.66939	222.93672	-27.975386	142.58655	60.65658	224.21945	-31.752258	-150.42044	34.73773	19.534213542938232
18	401.7466	89.97976	666.05817	304.8012	345.13568	36.992695	415.80585	302.0285	83.416664	66.4	17999	146.69984	63.561653	234.81982	-22.996307	146.70058	63.54658	238.09213	-28.388815	-154.80997	35.986774	19.345245599746704
19	379.0085	59.07672	507.5661	290.6799	353.42023	28.648115	385.79492	280.95773	72.78571	81.9	18999	150.8023	66.28691	248.9978	-26.401237	150.80278	66.27107	247.69012	-38.7042	-158.56175	38.923145	19.553977727890015
20	418.95178	82.80513	616.55273	294.45746	269.83322	15.015562	304.63754	241.16809	90.0	56.7	19999	153.4219	67.53935	258.94962	-15.819066	153.42197	67.526634	256.335	-15.603067	-160.97737	39.40722	19.05951452255249
21	320.5141	36.96067	388.62845	269.5006	337.9027	26.402266	411.45834	312.4689	65.53333	72.6	20999	154.88428	69.29213	266.42883	-12.019431	154.88535	69.2794	265.36823	-13.67983	-162.19841	40.415524	19.406291723251343
22	347.10944	56.949364	452.81418	226.10689	263.55695	29.29529	313.30325	206.55228	73.64286	50.7	21999	155.90727	71.00216	276.3023	-19.881403	155.90512	70.996895	272.39728	-25.337654	-163.09682	41.564552	19.041357040405273
23	282.16956	38.509087	389.4566	208.86667	239.94296	7.4148173	251.41054	225.67601	55.666668	45.8	22999	156.85178	73.05455	280.52066	-21.893223	156.85202	73.04754	280.8118	-25.533028	-163.75215	42.565075	18.96326446533203
24	260.95694	38.778324	381.92575	208.12459	402.83112	25.574804	445.8623	362.9736	50.05	76.1	23999	157.0256	75.01673	282.90906	-19.19129	157.02525	75.01262	282.86658	-26.02834	-163.57518	42.473843	19.500421285629272
25	356.79688	35.026817	406.096	309.24374	323.56223	77.55233	482.27554	221.45656	66.13333	73.6	24999	158.03448	76.90187	287.3538	-16.039799	158.03593	76.89028	288.3969	-18.153921	-165.58588	43.42713	19.305084943771362
26	355.94104	71.89255	476.77356	210.49959	303.97726	22.680891	350.87018	275.67172	79.0	70.1	25999	160.21379	78.87768	293.78885	-22.081715	160.21237	78.859566	294.98218	-87.59554	-167.55887	55.752594	19.285431385040283
27	314.25275	46.28786	444.34363	240.13715	371.80838	29.285067	427.30817	327.86685	70.333336	70.9	26999	162.68227	79.704796	297.2654	-46.18001	162.68613	79.68695	298.2155	-54.667244	-169.88739	58.274242	19.16074538230896
28	364.52692	64.972466	487.973	273.5368	303.69293	38.127995	381.5156	272.84357	71.84615	68.4	27999	163.76901	80.62168	301.29193	-36.92747	163.76967	80.60172	304.4147	-40.455036	-170.68037	61.67815	19.58483910560608
29	331.26996	70.39401	476.43204	254.13718	287.18237	33.022682	340.04333	235.04558	70.933334	56.7	28999	163.60062	81.183235	307.46536	-46.30303	163.60016	81.16593	308.71143	-39.85082	-170.10493	59.26347	19.227627754211426
30	341.16647	86.28392	528.9097	199.91075	252.18872	30.41221	295.1156	207.35863	69.07143	54.3	29999	162.37115	81.30326	308.0126	-44.289894	162.37086	81.28951	305.0891	-40.803528	-168.16756	57.32246	19.806718587875366
31	296.29956	67.338936	465.01794	202.23607	93.70766	7.199996	112.45652	86.88244	64.75	19.2	30999	160.52647	81.20425	304.0337	-69.81255	160.52628	81.192116	306.33383	-43.030823	-165.81212	60.386124	18.69386577606201
32	116.44149	45.54521	320.47476	82.34375	324.16953	30.018555	384.3274	285.7489	23.428572	64.5	31999	157.47595	80.78003	304.5082	-63.005592	157.4755	80.7733	302.26376	-44.179157	-162.58289	74.878815	19.43378758430481
33	347.6976	70.72084	509.338	257.43448	221.64453	15.501597	252.19116	201.35645	70.35714	44.6	32999	155.79053	80.94758	302.90524	-50.877647	155.78961	80.935616	302.75156	-44.339413	-161.56506	69.97573	19.429359197616577
34	234.861	27.246408	301.95245	183.33041	306.78998	36.186382	365.07767	244.44609	46.363636	59.8	33999	154.4833	82.40833	300.08978	-32.46212	154.4836	82.39627	308.67194	-30.61549	-160.80821	76.879265	19.862401008605957
35	255.89249	50.18274	400.9633	206.51704	297.6378	38.71607	347.2783	246.85493	49.8	60.5	34999	152.49478	83.09343	299.99478	-31.273317	152.49483	83.08519	302.40125	-26.95951	-158.75697	78.72983	23.0479519367218
36	317.99442	48.67155	461.98892	249.28079	335.5936	64.086044	484.04898	275.71542	61.9375	69.3	35999	150.47314	82.84367	299.7271	-23.774662	150.47142	82.82982	304.83978	-21.2612	-156.29903	78.81673	19.964521646499634
37	337.78806	43.3212	442.5144	276.11005	465.26254	63.905556	550.4667	361.22998	68.066666	98.8	36999	148.15079	81.9656	298.6511	-24.609005	148.15068	81.95162	299.93616	-34.11494	-153.82396	75.9399	21.03255319595337
38	390.93225	117.72505	635.21295	267.6278	387.25653	64.59705	488.93192	293.65326	81.0	77.8	37999	145.95656	81.4577	291.7485	-22.813908	145.9556	81.44183	292.12677	-17.801971	-151.76498	72.58686	20.83467411994934
39	431.19266	74.00229	529.30493	300.30643	341.21967	51.16086	427.47018	241.63892	87.63636	78.4	38999	144.56862	80.781	289.436	-24.346676	144.56871	80.76856	289.41202	-24.659994	-150.2722	70.75425	20.67610788345337
40	375.66638	79.61282	543.71643	282.828	396.98843	57.938972	510.65012	340.7126	82.30769	84.1	39999	143.08096	80.21827	292.63425	-29.86524	143.08026	80.199234	291.72656	-24.272036	-148.68071	67.721924	20.77331805229187
41	402.5474	65.85436	529.0129	313.2161	439.79678	76.5277	598.58344	346.93988	83.36364	94.1	40999	141.2225	79.7525	292.55573	-44.225258	141.2224	79.73598	289.34714	-25.28809	-146.76543	67.58787	21.18769073486328
42	382.09238	61.56101	529.0999	267.2756	405.7169	45.851585	474.57187	334.08597	84.75	80.8	41999	139.09302	78.90947	290.12006	-36.756607	139.09134	78.89855	293.1554	-23.354996	-144.31172	66.69261	20.64539885520935
43	411.74435	77.20669	613.42554	265.61935	294.1468	56.976025	438.57675	233.25166	81.61539	63.9	42999	137.33456	77.84323	287.74878	-23.898426	137.33296	77.82865	286.53537	-21.609953	-142.30618	62.82855	20.5031578540802
44	392.33224	123.05783	683.52795	277.1928	398.00558	49.61603	487.14142	332.51727	81.25	84.2	43999	135.84552	76.71963	285.98825	-20.77669	135.84625	76.70193	282.98425	-17.119854	-140.54628	62.51311	20.916515111923218
45	403.78012	52.719784	486.42285	310.6519	330.5031	37.11671	374.81717	256.11716	82.416664	69.9	44999	134.03496	75.4003	283.50394	-18.959993	134.03432	75.39049	277.84552	-16.583014	-138.66382	59.476868	20.67699384689331
46	366.94156	57.330875	491.73273	279.614	322.39142	78.88465	424.6244	197.44588	73.21429	62.5	45999	132.6637	74.23441	278.23383	-15.461093	132.66248	74.22092	276.0116	-16.114147	-137.21869	58.360992	21.926153659820557
47	349.5165	58.36852	431.9174	207.66316	414.14062	85.23146	585.25433	259.15466	67.46667	85.7	46999	131.18312	73.1151	271.54855	-24.768953	131.17972	73.10234	279.0272	-10.618663	-135.60922	56.64422	23.46031141281128
48	408.58228	99.4457	613.81226	262.5284	319.19574	88.2146	497.4166	208.71716	84.0	63.1	47999	130.01802	71.83949	273.75513	-17.681528	130.0175	71.82977	273.67477	-15.3531275	-134.18845	54.340485	22.677624464035034
49	369.07968	59.7861	505.64758	205.4439	464.47028	68.59513	619.6348	395.82907	71.71429	91.1	48999	128.99901	70.806725	267.62015	-10.686612	128.99696	70.79592	263.8664	-11.211673	-133.36674	52.694206	23.139881134033203
50	458.51758	88.349625	657.1164	350.96008	403.61038	22.582722	438.01154	370.12878	90.4	80.2	49999	128.50523	69.82514	264.12125	-16.871677	128.50453	69.81266	263.55753	-15.354816	-132.57332	50.41413	22.678564310073853
51	470.82352	58.978714	544.3549	368.41953	461.6927	64.33337	572.8971	346.4622	91.90909	98.2	50999	127.93055	69.17055	260.76636	-15.569869	127.92682	69.1644	260.6506	-43.232296	-131.7746	49.281445	22.91516661643982
52	459.8262	49.724697	540.61395	392.5571	415.84235	81.599266	564.08234	296.937	94.90909	83.4	51999	127.61784	68.35399	260.66516	-23.845028	127.617905	68.3451	259.58328	-20.224993	-132.11891	48.62988	22.725764751434326
53	395.08997	67.54761	507.7787	290.47882	405.34183	43.35089	494.11725	342.1356	75.92308	82.8	52999	129.5415	69.23758	259.4457	-14.28624	129.53935	69.23285	263.86942	-22.836761	-134.42007	52.828285	22.752479553222656
54	346.33795	27.428576	401.30273	307.19537	424.9358	63.87696	507.10797	308.48297	66.6	84.3	53999	130.02977	69.58701	261.70993	-16.375929	130.02301	69.57535	262.0291	-18.739534	-134.67958	50.69846	22.709883213043213
55	401.00827	126.35076	778.3002	286.71185	354.94107	98.53254	582.30743	255.08679	78.61539	68.1	54999	130.00583	69.20669	257.8627	-15.226541	130.00635	69.19851	260.3298	-18.324167	-134.11957	50.47314	22.575786113739014
56	364.94315	38.916264	415.5171	297.03058	439.98657	79.16301	538.3094	334.60922	69.28571	89.3	55999	128.86842	68.72221	257.6209	-19.131105	128.86609	68.71395	259.33252	-15.946894	-132.87027	48.476013	22.96127438545227
57	388.59744	69.42492	572.457	263.6286	272.19366	24.968596	307.45483	231.06535	78.38461	53.4	56999	127.48255	67.64096	252.11215	-13.500856	127.48117	67.63306	256.35635	-13.115474	-131.1201	47.422882	20.147212982177734
58	297.67654	49.26981	421.9515	242.0204	433.63226	66.876175	535.7369	345.1179	57.5	87.2	57999	125.802795	66.508514	250.65729	-10.788219	125.801476	66.50072	252.39781	-13.75221	-128.8838	46.67855	20.548580408096313
59	393.08713	74.8408	559.4665	272.3505	422.12686	82.881424	521.6107	255.58368	75.23077	88.0	58999	124.06016	65.10883	249.57596	-12.021662	124.05956	65.09905	249.16887	-11.44492	-127.12361	43.2411	20.535178899765015
60	466.4124	128.40146	735.00775	313.18192	435.1578	51.4812	535.19727	358.29272	91.90909	84.8	59999	122.849815	63.9645	252.78023	-33.06485	122.847595	63.957237	252.25009	-12.930806	-126.053986	42.036903	21.0458345413208
61	425.18497	89.68418	650.0924	317.69226	367.8256	49.83914	450.7786	313.34192	81.75	70.4	60999	122.22084	62.71553	249.84192	-9.636465	122.21927	62.706944	252.56642	-10.856071	-125.45591	39.20622	20.552181720733643
62	379.75385	59.225403	509.6817	303.54828	381.33563	38.8753	471.86072	328.49973	72.78571	74.8	61999	121.49233	61.775967	254.30885	-11.960582	121.492546	61.766716	255.2242	-13.838607	-124.34335	37.335243	20.82231569290161
63	418.66724	117.36493	688.95856	278.61047	364.37262	26.071484	402.50253	315.5293	81.916664	69.3	62999	121.32329	60.996246	252.77718	-16.236967	121.322845	60.987236	260.5604	-13.144474	-124.2925	35.8155	20.645824670791626
64	365.86325	45.420006	480.3701	309.65543	385.64877	53.113945	473.2385	280.5875	68.8	73.6	63999	121.340385	60.186108	250.5815	-16.15749	121.33966	60.175426	251.90309	-12.173947	-124.429825	34.13598	20.731558799743652
65	365.958	36.75109	439.99753	312.5621	444.1858	69.819984	628.61017	391.08414	69.71429	89.5	64999	121.437904	59.547707	248.73299	-12.437226	121.435486	59.540905	251.71927	-28.715647	-124.212845	33.463856	21.006930589675903
66	441.2849	117.92003	663.62476	299.68298	365.60797	60.467937	463.21893	291.704	92.7	81.5	65999	122.046524	59.131233	250.98593	-39.547142	122.046585	59.123417	254.14096	-39.42506	-124.957794	33.10662	20.967947721481323
67	419.64172	125.714035	638.0939	259.7531	550.84436	145.81796	865.9785	409.40387	88.75	112.6	66999	122.59203	59.064266	250.00864	-20.49946	122.59078	59.05647	255.37401	-21.461363	-125.55906	31.797558	21.382110118865967
68	490.38495	81.690216	668.1342	377.76303	429.08344	127.293106	788.878	347.69855	97.1	82.3	67999	123.08546	58.892	247.69301	-39.109085	123.08437	58.88423	249.57909	-23.088882	-125.914566	31.346676	21.03556180000305
69	411.7866	162.95935	882.7501	183.23875	371.4575	113.39387	636.20825	262.1563	78.38461	81.8	68999	123.52524	58.9197	248.0728	-24.19298	123.525505	58.910732	251.27852	-19.177443	-126.18074	31.47271	20.568615674972534
70	365.92883	101.817924	524.99854	234.18968	387.33652	65.20313	511.7714	277.17877	78.84615	77.7	69999	124.20077	59.025597	245.44412	-16.351654	124.19941	59.018368	250.81747	-16.760794	-127.19962	31.03349	20.927009105682373
71	459.6546	71.08092	647.4501	390.23962	421.27164	119.79877	621.38544	244.88626	91.0	89.4	70999	124.86176	59.169983	243.86404	-13.345104	124.861	59.160652	246.9997	-14.634973	-127.85915	31.429583	21.080864906311035
72	513.1018	58.329857	593.3576	388.74353	391.817	43.91754	465.9766	340.9986	105.22222	81.2	71999	126.082565	59.435093	240.86017	-11.4317045	126.08303	59.428127	247.08687	-12.461054	-128.92235	31.415764	20.805826663970947
73	492.11655	92.7237	640.7964	364.63748	414.30298	82.55238	547.9756	295.73587	99.7	87.3	72999	126.83847	59.99865	241.50034	-12.600305	126.83793	59.99209	249.12334	-9.712711	-129.86563	31.35894	21.040775775909424
74	377.26614	92.81793	514.16174	163.3315	449.03595	109.4802	672.9145	282.32422	81.0	95.0	73999	127.976135	60.49036	245.08812	-17.448935	127.97558	60.48158	246.903	-15.499292	-131.147	33.313663	21.434537649154663
75	445.24747	108.50932	672.9585	327.06244	414.0743	73.0582	595.3508	331.8042	94.4	88.2	74999	128.37482	61.21144	243.22816	-21.315542	128.37343	61.20397	246.239	-19.185013	-131.60942	33.11935	21.44052243232727
76	480.23505	102.73314	675.80396	320.26205	410.32285	48.154907	487.21417	335.10538	95.454544	81.0	75999	129.23364	61.58925	244.37743	-14.929645	129.23405	61.579914	244.55699	-14.191153	-132.21445	33.40543	23.40883445739746
77	424.4751	72.79817	590.83105	305.36166	393.38425	88.40656	629.1365	313.53708	82.916664	89.2	76999	129.70386	62.1327	242.03069	-15.455232	129.7021	62.12412	242.9498	-12.661018	-132.4089	33.209976	23.636053800582886
78	427.92062	53.192142	513.4876	350.9828	400.68317	59.434235	514.2962	332.52444	89.454544	80.2	77999	130.01988	62.587875	242.33995	-19.097898	130.0212	62.579525	244.31929	-24.551163	-133.1801	32.480824	23.28279209136963
79	416.01096	76.61842	637.28925	332.97342	434.2658	48.851135	494.30978	334.41806	83.083336	87.9	78999	130.18143	63.11282	242.1072	-19.222473	130.17976	63.1052	246.98949	-13.509869	-133.19067	32.30091	23.366170406341553
80	513.11816	173.04247	928.26855	382.7727	471.96304	138.86967	738.3285	307.83932	101.3	96.2	79999	130.62268	63.296803	246.29214	-18.505236	130.62238	63.288994	246.3265	-12.585988	-133.63113	32.430607	23.712966442108154
81	467.62265	117.097496	643.66315	323.34573	473.76636	73.457016	638.57434	375.2086	92.63636	95.2	80999	130.87083	63.675823	243.07565	-22.565744	130.87056	63.666996	247.19705	-10.484519	-133.50322	32.758076	23.53634524345398
82	434.20084	41.28374	520.8642	380.47153	399.25555	24.445713	448.3205	366.61304	83.5	74.6	81999	131.40549	63.984623	248.93443	-15.641467	131.40585	63.97629	247.11554	-14.438118	-134.47662	33.311172	23.192103624343872
83	477.8546	80.57378	701.67926	384.4647	425.0755	43.434036	487.9943	326.0278	90.0	81.2	82999	131.86537	64.12678	244.59254	-16.789734	131.8653	64.11741	249.3607	-12.242452	-134.89291	32.62619	23.167322635650635
84	419.3868	83.33827	538.252	268.4031	522.3415	60.639786	640.5833	452.83438	80.666664	98.4	83999	132.64603	64.22127	246.27371	-32.111916	132.64456	64.20934	246.19466	-16.43098	-135.52959	33.502148	23.69192624092102
85	453.70154	80.93175	662.6679	377.77664	469.30557	63.980953	550.34534	368.02652	86.0	87.6	84999	132.69827	64.47902	248.33522	-18.049583	132.6975	64.469124	245.34906	-25.124113	-135.77614	33.346375	22.71599841117859
86	406.53595	50.367397	512.91846	348.70886	451.81317	54.8298	542.9225	372.02914	75.23077	88.1	85999	133.09238	64.57879	242.94955	-13.776325	133.0931	64.5687	243.76721	-19.763214	-136.03937	33.786247	22.3748300075531
87	472.41962	80.156906	675.41766	391.5661	419.45596	58.327595	529.90967	327.0908	90.454544	83.2	86999	133.38084	64.82553	245.9534	-10.212281	133.38043	64.81551	247.83897	-11.0194645	-136.2791	33.180832	22.23020029067993
88	376.9135	25.664976	425.55414	326.1047	479.84293	72.7599	617.16815	399.39896	73.57143	94.0	87999	133.55171	65.07031	241.59125	-14.776156	133.55307	65.06124	244.41472	-9.921315	-136.46347	33.379875	21.902896881103516
89	447.71457	72.59418	591.77545	367.22675	455.07462	101.14526	683.22034	340.10986	85.666664	90.2	88999	133.96039	65.16438	240.7304	-14.066917	133.95961	65.155014	247.81038	-19.887247	-136.90208	32.74935	21.901448726654053
90	412.7745	56.895	583.6879	367.79697	606.07294	102.86012	792.0998	444.59714	79.333336	120.1	89999	134.03471	65.43566	241.9734	-15.06781	134.03285	65.428825	245.19766	-13.978967	-137.16579	32.87636	22.36373996734619
91	478.39728	73.43512	606.509	357.86673	463.06854	100.790634	636.4974	277.56134	94.63636	92.8	90999	134.52217	65.53546	241.66727	-15.816953	134.52396	65.52704	243.614	-10.769624	-137.38106	32.61396	21.782044649124146
