epoch,metric1,metric2
1,-22.65467,-203.1821
2,-92.41077,-48.498703
3,-30.227049,-43.745987
4,-52.45099,-195.47589
5,-332.03052,-44.409843
6,-35.22876,-57.42859
7,-307.532,-27.167334
8,12.690724,-70.05213
9,-45.98763,-51.220825
10,-32.896027,-80.477455
11,-115.64973,-55.34327
12,-1071.3438,75.61644
13,-1110.939,32.547375
14,-357.47897,-56.98333
15,-49.309464,-61.796955
16,-512.3266,-31.264446
17,-14.183737,-40.101074
18,-7.4202704,-8.883377
19,-0.08196713,183.96587
20,-17.340464,17.66125
21,-47.30761,295.51227
22,-154.65897,51.24575
23,123.92641,147.16055
24,42.487816,175.11136
25,8.9466715,180.3829
26,-19.498205,222.61836
27,221.99048,308.41843
28,34.977467,135.84695
29,29.71178,168.82764
30,42.07876,429.73526
31,123.42623,277.57587
32,152.25331,367.68134
33,214.86198,449.13028
34,515.70917,438.8084
35,635.8339,539.28204
36,26.86365,587.3395
37,287.83167,638.04034
38,530.56396,391.21222
39,298.23325,468.98544
40,332.54883,636.1084
41,449.3977,634.101
42,653.2194,390.82123
43,570.5249,472.04166
44,226.28784,548.92566
45,527.13965,451.58917
46,117.672386,455.9134
47,245.59398,258.9667
48,688.5459,596.036
49,653.1093,531.2869
50,677.64404,564.5472
51,166.47458,433.5
52,333.96213,674.10925
53,565.4676,410.29688
54,687.3467,633.23267
55,682.3839,638.73804
56,688.3906,475.28595
57,741.9086,627.01776
58,-590.61115,757.20917
59,777.0055,779.65936
60,742.9925,592.079
61,458.13367,661.2567
62,743.4228,732.2946
63,745.6533,718.2657
64,377.50568,834.7326
65,288.16812,808.1996
66,766.2061,896.2933
67,-17.981665,651.55963
68,784.5173,638.29724
69,746.1828,715.4283
70,764.40735,787.57166
71,764.9298,808.2722
72,806.517,857.73114
73,782.517,790.9806
74,810.6851,750.03625
75,810.6434,844.1876
76,789.6998,640.6142
77,782.61633,862.69714
78,817.3949,881.1693
79,864.52747,892.3542
80,753.6594,897.8262
81,833.15234,894.1385
82,817.7158,597.48334
83,803.57367,896.88513
84,789.3735,775.8862
85,749.69543,786.6423
86,823.0249,918.1331
87,832.42633,894.1841
88,835.71405,794.45374
89,777.1582,874.7463
90,816.24786,918.67206
91,834.23987,862.80286
92,820.27026,840.5934
93,826.8122,715.4257
94,777.82935,886.9373
95,843.26184,842.05237
96,746.97485,723.29156
97,842.5537,610.1395
98,8.623509,594.6191
99,758.4358,659.8835
100,688.1554,535.1993
101,-3.0240147,655.95056
102,492.01367,718.1033
103,264.07056,919.2494
104,-654.74457,897.0586
105,753.3075,915.8976
106,833.98956,948.8092
107,843.8637,941.508
108,722.2988,906.3418
109,-335.34653,925.32684
110,841.65875,834.0747
111,798.55444,933.033
112,840.23096,942.8088
113,866.0102,949.7371
114,865.2198,922.11914
115,884.2738,937.5714
116,866.148,946.99677
117,867.2713,948.6229
118,872.1762,940.4559
119,869.7618,950.99493
120,871.4454,938.16
121,899.7958,933.9626
122,878.83154,949.17236
123,849.186,940.24347
124,875.5999,939.99207
125,849.6225,926.007
126,813.90674,891.2827
127,872.57355,945.7041
128,850.4674,909.4681
129,897.2613,942.98
130,879.4714,943.7168
131,862.16473,905.5475
132,840.9276,900.5422
133,825.5592,937.30066
134,822.372,924.3334
135,868.3468,913.7743
136,851.79156,911.33875
137,836.8681,809.10205
138,846.88416,894.2399
139,891.19415,878.81165
140,846.876,878.97723
141,905.0224,937.1291
142,851.0733,819.51025
143,861.94635,823.7876
144,895.66296,770.17914
145,848.6274,928.4608
146,793.876,929.5985
147,911.4187,920.3008
148,890.5919,829.2948
149,907.3334,864.3724
150,914.5883,879.8172
151,955.88715,837.5304
152,809.03784,931.3292
153,963.32684,808.58813
154,965.0466,894.4548
155,718.6343,929.3822
156,926.017,949.54395
157,973.7738,955.6328
158,928.0909,759.895
159,953.83875,855.32263
160,836.2315,935.58655
161,850.7952,948.52527
162,920.11005,859.46564
163,901.50385,858.9828
164,876.0885,841.70447
165,881.9251,829.9531
166,836.2989,874.7248
167,903.59564,715.4185
168,912.59686,882.3346
169,857.2237,778.53674
170,1030.5605,954.8817
171,1000.91504,976.8778
172,907.13696,948.0716
173,1054.8878,956.04266
174,1000.30884,969.7357
175,1022.78577,939.0858
176,1058.1174,915.01746
177,999.5722,937.48083
178,1005.93854,930.09607
179,1147.4663,939.37415
180,1046.425,907.3668
181,1083.568,955.54626
182,936.8516,1065.09
183,783.6058,1025.3116
184,1132.7511,1097.4666
185,984.8691,975.3068
186,980.80597,1089.8656
187,1128.5137,853.25116
188,1108.9288,1063.1648
189,1201.2518,1275.2932
190,1185.6595,1196.0354
191,1080.3778,1349.1443
192,1215.5044,1196.2125
193,1267.2637,1323.5537
194,1289.0726,1266.2021
195,1313.5604,1092.3337
196,1273.1993,1238.3723
197,1229.2324,1153.7639
198,1257.2256,1268.4464
199,1108.2255,1284.7771
200,1311.4753,1408.5735
201,1339.5941,1424.1133
202,1395.6349,1334.0232
203,1413.6599,1430.5479
204,1377.2223,1449.822
205,1374.576,1453.7195
206,1349.4423,1476.8738
207,1445.1798,1332.7034
208,1266.2037,1107.7874
209,1275.88,1360.5928
210,1354.9623,1396.415
211,1333.3512,1342.2458
212,1405.6511,1320.9926
213,1230.4502,1406.3125
214,1325.1649,1490.9391
215,1319.0515,1341.109
216,1451.0569,1505.0168
217,1497.638,1437.4779
218,1419.2012,1516.2622
219,1410.5055,1227.3702
220,1371.6543,1494.4729
221,1328.9823,1426.8579
222,1479.0674,1510.8201
223,1408.2761,1538.408
224,1403.9696,1187.016
225,1456.57,1531.9906
226,1480.7122,1473.9971
227,1474.8698,1192.2897
228,1461.781,1528.811
229,1472.7053,1448.6978
230,1505.2656,1565.4836
231,1517.9554,1470.305
232,1598.6691,1600.6792
233,1441.2911,1619.4021
234,1507.2106,1546.1598
235,1536.8417,1558.9442
236,1521.1077,1536.321
237,1503.4238,1588.0483
238,1476.448,1567.6041
239,1501.785,1621.0173
240,1502.1608,1503.2883
241,1602.3125,1607.5472
242,1407.402,1572.3865
243,1582.8086,1597.7566
244,1559.5319,1579.6805
245,801.5923,1541.5707
246,1476.4934,1673.7805
247,1552.2012,1553.4303
248,1601.9846,1546.3376
249,1503.5886,1583.7008
250,1546.9435,1541.4231
251,1534.5803,1723.5569
252,1504.4122,1634.0035
253,1635.8281,1390.5562
254,1662.9408,1627.9417
255,1697.7982,1662.3762
256,1593.2935,1714.5902
257,1622.5111,1640.9856
258,1588.8677,1619.4607
259,1607.869,1421.2072
260,1572.5251,1363.5267
261,1634.7141,1721.4011
262,1665.8236,1640.1465
263,1533.2648,1346.9559
264,1583.1489,1672.1736
265,1663.9155,1714.8099
266,1620.9521,1710.6969
267,1658.1975,1702.8193
268,1684.8215,1359.6918
269,1659.7871,1317.2494
270,1653.7686,1098.5924
271,1590.7468,1174.7703
272,1572.4697,1162.6438
273,1546.7179,1641.1031
274,1631.3229,1307.5062
275,1597.7799,1393.0204
276,1591.33,1622.2244
277,1607.2034,1682.1381
278,1519.0109,1503.5476
279,1656.7019,1631.3479
280,1650.954,1662.5098
281,1551.3704,1710.196
282,1568.0137,1706.3219
283,1682.5243,1510.7675
284,1650.4906,1625.9075
285,1653.0593,1418.0223
286,1555.0219,1706.4459
287,1592.5309,1585.3586
288,1697.6312,1699.7048
289,1683.3251,1771.9554
290,802.9195,1758.7418
291,1727.7751,1802.3506
292,1759.173,1772.999
293,1739.3828,1306.498
294,1664.9048,1562.4523
295,1693.2845,1741.3434
296,1676.8453,1727.4808
297,1657.95,1664.2751
298,1689.174,1074.0192
299,1603.7037,1626.1951
300,1672.7903,894.7562
301,-1184.3741,1717.4514
302,1010.6922,1546.7958
303,1643.1709,1732.6516
304,1652.3092,1791.8008
305,1646.3335,1809.2332
306,1677.2007,1761.3385
307,1687.0734,1545.9939
308,1659.1405,1548.799
309,1697.4498,1841.5043
310,1657.917,1742.9375
311,1755.5308,1817.8232
312,1697.3778,1671.6887
313,1705.535,1863.4808
314,1777.6069,1530.0372
315,1794.2158,1837.8186
316,1832.2593,1801.5645
317,1777.1396,1800.4998
318,1762.3918,1821.0574
319,1721.2316,1810.7115
320,1728.6313,1803.2543
321,1776.2946,1767.5491
322,1757.0227,1845.9681
323,1714.7776,1486.2787
324,1740.2129,1831.4932
325,1754.8947,1883.8551
326,1690.3229,1861.1746
327,1828.0513,1866.3767
328,1828.9752,1831.343
329,1821.559,1888.8756
330,1783.1289,1879.3676
331,1809.5372,1889.8904
332,1808.5156,1888.8142
333,1836.9436,1907.9199
334,1815.9164,1919.429
335,1827.0195,1930.4017
336,1796.746,1754.7021
337,1865.7561,1995.9421
338,1894.4547,1850.0281
339,1836.6968,1873.4401
340,1653.5771,1874.9557
341,1605.0942,1643.4642
342,1820.113,1917.5873
343,1866.8964,1784.7712
344,1889.3967,1574.6235
345,1943.0461,1770.4128
346,1936.1206,1634.4161
347,1617.7993,1771.8785
348,1850.232,1994.5612
349,1765.034,1963.5215
350,1899.9092,1954.2805
351,1896.6995,1201.7922
352,1830.0149,1981.6384
353,1862.0476,1917.4277
354,1886.8109,1877.3418
355,1854.3298,1979.0149
356,-2001.1313,1983.405
357,1982.7834,1425.3218
358,1980.9542,1459.9867
359,1867.6534,1858.3597
360,1845.5095,1939.7483
361,1813.5284,1898.4045
362,1841.4259,1340.8939
363,1834.048,1961.57
364,1813.9424,1414.8645
365,952.9309,1928.7537
366,1816.0977,1944.7732
367,1872.5353,1941.2532
368,1876.5435,2000.4918
369,-184.0221,1997.5645
370,1920.2051,2029.0488
371,1906.7097,1881.9095
372,1919.1055,2060.9475
373,1927.9423,1949.518
374,1923.1458,1990.5657
375,1915.7131,2026.4307
376,1918.3732,2012.5697
377,1944.5063,2017.5074
